ID	iBAQ.B_bacteriovorus_WCE1_TR01	iBAQ.B_bacteriovorus_WCE1_TR02	iBAQ.B_bacteriovorus_WCE2_TR01	iBAQ.B_bacteriovorus_WCE2_TR02	PFAM_DNA_binding.x	Nuc_vs_Top_ratio	Final_Localization
CAE78562.1	12385000	12214000	11527000	13343000	0	2.23	NA
CAE78563.1	5336000	5454300	5817200	6215500	1	1.18	Cytoplasmic Membrane
CAE78564.1	2156900	1745500	2036200	2254300	0	-1.14	Unknown
CAE78570.1	2250800000	2394400000	2399100000	2443800000	0	0.127	Periplasmic
CAE78572.1	1439100000	1527700000	1386700000	1485700000	0	1.96	Unknown
CAE78574.1	8706900	9145300	9624400	9828400	0	1.59	NA
CAE78575.1	4147700	8608900	8911100	9930500	0	-4.57	Cytoplasmic
CAE78576.1	178030	172780	198590	192990	NA	NA	NA
CAE78577.1	12222000	11418000	11987000	14913000	0	-2.52	Unknown
CAE78578.1	NA	NA	NA	NA	0	0.965	Cytoplasmic
CAE78584.1	3199300	2520600	2862200	2404500	0	-0.727	Cytoplasmic Membrane
CAE78585.1	14726000	14828000	14109000	14869000	1	-2.13	Cytoplasmic
CAE78586.1	21284000	20561000	25787000	26542000	0	-2.92	Cytoplasmic
CAE78587.1	76934000	76346000	82453000	95171000	0	-2.34	Cytoplasmic
CAE78588.1	9346700	9786200	13182000	18190000	0	-1.48	Cytoplasmic
CAE78589.1	77860000	78711000	90755000	96688000	0	0.055	Extracellular
CAE78595.1	7543600	7679800	8306200	9322900	0	9.31	Unknown
CAE78596.1	2009800000	1980200000	2.10E+09	2204300000	0	2.9	Outer Membrane
CAE78597.1	3277700	3629200	3857200	4213600	0	4.66	Unknown
CAE78598.1	20033000	25285000	27254000	25807000	0	3.96	Unknown
CAE78599.1	8006500	9845700	8162800	9755300	0	-2.34	Extracellular
CAE78600.1	8147900	8361300	8156900	8891600	0	-1.87	Cytoplasmic
CAE78601.1	7131800	7977000	7971200	7994100	0	-1.02	Cytoplasmic
